,system:index,classification,Lat,Lon,B2,B3,B4,B8
353,353,2,-1.224530699960583,36.92423812069517,2121.5833333333335,2035.4166666666667,1963.4166666666667,1895.0
354,354,0,-1.2138285901580406,36.90524271074481,2546.6666666666665,2352.9166666666665,2269.0,2253.75
355,355,1,-1.1890950666104738,36.94132246656394,2117.8333333333335,1885.8333333333333,1787.5833333333333,1814.4166666666667
356,356,5,-1.1989677560438878,36.97844254653348,2999.4166666666665,2764.0833333333335,2542.4583333333335,2642.75
357,357,2,-1.218368663712583,36.93498084257744,1954.5,1743.0833333333333,1640.3333333333333,1666.1666666666667
358,358,1,-1.1991057996483094,36.921032003207216,2596.25,2315.75,2210.1666666666665,2219.75
359,359,2,-1.2099514788062158,36.93924406080695,2446.6666666666665,2232.25,2054.0,2124.9166666666665
360,360,2,-1.2254420380307451,36.92065174214195,2162.8333333333335,2064.6666666666665,2023.3333333333333,1911.25
361,361,2,-1.1776696292797824,36.96193091747092,1593.4166666666667,1466.4166666666667,1403.0416666666667,1375.2083333333333
362,362,2,-1.2033800796670953,36.93398182116309,2113.0833333333335,1858.0833333333333,1779.3333333333333,1752.8333333333333
363,363,1,-1.2022038747289707,36.9205277315162,2768.6666666666665,2445.4166666666665,2278.1666666666665,2405.4166666666665
364,364,2,-1.215844293654117,36.910228481654165,1737.9166666666667,1479.0,1431.25,1427.0
365,365,5,-1.1858789726280992,36.94846375579227,1972.2083333333333,1802.1666666666667,1790.2916666666667,1710.1666666666667
366,366,1,-1.1833175600378922,36.94228649930249,1747.1666666666667,1558.6666666666667,1480.1666666666667,1464.1666666666667
367,367,2,-1.2207812313037298,36.92187024570282,2462.6666666666665,2237.4166666666665,2112.75,2191.25
368,368,1,-1.1978749232875887,36.93028979800937,1790.1666666666667,1625.0,1597.0,1533.5833333333333
369,369,2,-1.2037242424280197,36.946234838160414,2125.125,1917.1666666666667,1824.8333333333333,1815.8333333333333
370,370,5,-1.2143642539560524,36.98122489608222,2417.2083333333335,2116.375,1988.7916666666667,2090.9583333333335
371,371,2,-1.2027239498354192,36.92582099662497,2276.25,2087.9166666666665,2021.5833333333333,1973.9166666666667
372,372,5,-1.2208354158411592,36.9534901715466,1606.4166666666667,1453.25,1368.8333333333333,1351.625
373,373,2,-1.2151213609390754,36.964620491546064,2174.7916666666665,1997.75,1881.4166666666667,1942.25
374,374,5,-1.2075203582494092,36.93571409487284,2507.0833333333335,2273.5,2184.1666666666665,2202.8333333333335
375,375,2,-1.2102502864472875,36.90781100534512,2627.1666666666665,2366.5833333333335,2237.8333333333335,2287.4166666666665
376,376,5,-1.2205209138554796,36.94558067865563,1501.125,1384.4583333333333,1341.625,1248.9583333333333
377,377,5,-1.2187243214475298,36.9446453142316,1874.875,1692.3333333333333,1605.9583333333333,1580.5
378,378,5,-1.214608901625118,36.95374775555931,1612.125,1473.8333333333333,1416.9583333333333,1357.7083333333333
379,379,2,-1.1997713809438877,36.93914106177645,2480.9166666666665,2284.6666666666665,2219.0833333333335,2170.5
380,380,1,-1.1925666493587364,36.95860517657462,1884.875,1611.2916666666667,1511.7916666666667,1537.7916666666667
381,381,2,-1.2150413439284202,36.965020723583415,2218.7083333333335,2054.9583333333335,1999.0416666666667,1973.2916666666667
